False,55,73
False,87,72
False,0,22
False,35,17
True,0
True,87
True,95
True,10
True,87,73
True,95
False,95
True,0
False,0,59
True,10
False,59,73
True,17
True,73
True,59,0
False,73
True,73
False,35,72
True,73
True,87
False,73,9
True,11
True,73
False,95
False,53,17
True,10
True,9
True,73
True,95
True,10,17,73
False,49,35
True,73
True,35
True,73
True,11
False,67,35
True,73
False,0,35,87
True,0
False,0
True,73
False,35,87
True,73,1
False,87,35
False,95
True,35
True,73
True,10
False,22,95
False,35,87
False,35,95
False,9,73
False,87,35
True,87
False,0,35,17
False,10,35
True,73
False,35,17
False,10,87
True,35
True,0
False,35,95
True,35
True,73
False,35,73
False,95
True,9
True,95
False,102
True,73
True,73
True,10
False,90
False,30,10
True,73
True,10
False,17,102
True,0
True,87
True,1
False,59,87
True,0
False,73,87
True,35
True,0
True,17,35
True,59
True,17,17
False,67,95
False,95
True,73
True,53
True,73
True,95
False,22,73
False,106
True,9
True,0
True,35
False,53
False,73,87
True,49,0
False,64,35
False,59,18
False,49,87
False,17,0,17
False,87,87
True,67,0
True,40,0
True,2
True,9,35
False,10
False,49,73
True,71
True,102
True,17
True,17
False,73,72
True,15
False,39,50
True,87
True,87
True,42
True,73
True,105
True,15,12,87
True,9
True,40,17
True,82,0
True,15
False,87
False,19
False,67,78
True,87
False,1,10,60
True,10
True,64
True,17
False,13,73
False,73,87
False,87
True,35
False,87,52
True,34
True,93
False,86,42
True,17
False,53,48
True,73
True,43
False,101
True,87
False,67,49
True,10
False,68,5
True,68
True,95
True,18
False,94
False,0,13
True,95
True,19
True,0
True,78,102
True,102
True,51
False,86,92
False,42
False,22,67
True,53
True,72
True,69
False,56
True,0
True,104
False,106
True,69
False,59,0
False,30,95
True,87
True,33
False,9
True,18
False,39,30
True,30,10
True,98
False,10,93
False,89
False,87,51
False,51,49
True,2
True,56
False,60,68
False,106
False,34,87
True,5,0
True,60
True,18
True,78
False,98
True,52,19
False,69,73
False,73
False,21,40
True,40
False,52,48
True,48
False,40,54
True,11
True,35
False,27,87
True,91
True,67
True,73
True,35,42
False,53
False,58,95
True,67,9
True,22,19
True,4,35
True,48
False,93
True,28
False,87,80
False,80,81
False,67,35
False,59,15
True,42
True,21,21
True,40
True,105
True,2
False,106
False,35,72
True,72
False,85
False,73,44
True,44
False,27,16
True,36
False,73
False,100
True,93
True,102
False,85
False,49,78
False,72
True,48,0
False,24,73
True,73
True,83
False,106
True,71
True,88
False,45,4
False,4,49
True,49,29
True,95
True,89
False,67,52
True,102
True,68,10
True,10
True,73
True,73
True,73
True,42
True,45
False,98
True,83
False,94
False,49,35
True,31,35
False,35,93
False,9,87
True,87
True,60
True,10
False,21,87
False,21,60
True,93
False,42,73
True,52
True,44
True,73
True,35
True,9
True,60
True,65
True,71
False,33
True,102
True,35
True,72
False,71,50
True,18
True,33
False,95
True,24
True,12,0
False,76,24
True,0
True,79
False,90
True,0
True,73
False,10
False,31,92
True,60
True,2
True,87
False,107
True,17
False,73
True,72
False,67,102
True,65
False,76,52
True,5
True,107
True,52
True,55
True,45
True,10
False,60,87
False,18,105
False,67,15
False,102
False,12,34
True,100
False,28,35
False,35
False,91
False,59,59
False,73
True,18
True,0
False,53,102
True,87
True,40,24
False,95
True,45
False,67,31
True,19
False,67,75
False,75
True,48
False,102
True,59,17
True,59
True,17
False,85
True,73
False,67,22
False,59,72
False,10
False,4,3,31
True,24
True,80
True,9
False,73,35
True,35
False,59,60
False,4,87
False,71
False,30,102
False,42,45
True,35
False,73
True,24
False,73
False,87,73
False,1,53
True,73
False,45,64
False,4,17,60
True,45
True,95
